head_id,tail_id,head,head_type,relation,relation_zh,tail,tail_type,evidence,source_pages,source_chunks,confidence
ProcessObject_部上段,ToolEquipment_甲板胎架,部上段,ProcessObject,assembled_with,连接/装配,甲板胎架,ToolEquipment,在甲板胎架上倒装,[144],"[""shiprag_p144_00165""]",0.8
Component_下倾式内底边板,Component_内底边板,下倾式内底边板,Component,belongs_to,属于,内底边板,Component,下面介绍下倾式内底边板的展开方法,[90],"[""shiprag_p090_00106""]",0.9
Measurement_共同凹陷变形的允许挠度,ProcessObject_船体,共同凹陷变形的允许挠度,Measurement,belongs_to,属于,船体,ProcessObject,船体构件凹陷变形的允许挠度,[182],"[""shiprag_p182_00215""]",0.7
Component_内底纵骨,Component_内底板,内底纵骨,Component,belongs_to,属于,内底板,Component,装内底纵骨，定位时检查纵骨两端面和板边正足线的距离,[133],"[""shiprag_p133_00151""]",0.9
ProcessObject_分段组立树,ProcessObject_分段,分段组立树,ProcessObject,belongs_to,属于,分段,ProcessObject,分段组立树通过结构各级代码反映出结构装配单元的划分,[116],"[""shiprag_p116_00134""]",0.9
ToolEquipment_反光镜,ToolEquipment_经纬仪,反光镜,ToolEquipment,belongs_to,属于,经纬仪,ToolEquipment,反光镜能将光线反射进仪器内以照亮水平度盘,[10],"[""shiprag_p010_00011""]",0.9
ProcessObject_四节等径直角弯头,ProcessObject_多节等径弯头,四节等径直角弯头,ProcessObject,belongs_to,属于,多节等径弯头,ProcessObject,以四节等径直角弯头为例说明弯头分节和展开方法,[78],"[""shiprag_p078_00094""]",0.8
Component_围板,ProcessObject_烟囱,围板,Component,belongs_to,属于,烟囱,ProcessObject,已经完成围板装配的烟囱外形应光顺美观,[108],"[""shiprag_p108_00125""]",0.9
ProcessObject_圆柱螺旋面,ProcessObject_不可展曲面,圆柱螺旋面,ProcessObject,belongs_to,属于,不可展曲面,ProcessObject,现以球面和圆柱螺旋面为例，介绍不可展曲面的近似展开。,[80],"[""shiprag_p080_00096""]",0.8
ProcessObject_基准分段,ProcessObject_底部分段,基准分段,ProcessObject,belongs_to,属于,底部分段,ProcessObject,全船第一个吊上船台的底部分段称为基准分段,[163],"[""shiprag_p163_00189""]",0.95
Component_外围壁,Component_船体强度构件,外围壁,Component,belongs_to,属于,船体强度构件,Component,外围壁属于船体强度构件,[102],"[""shiprag_p102_00118""]",0.95
ProcessObject_平面曲线,Measurement_曲线实长,平面曲线,ProcessObject,belongs_to,属于,曲线实长,Measurement,平面曲线只在与之平行的投影面上的投影才反映实形,[70],"[""shiprag_p070_00085""]",0.8
Component_底纵桁,Component_纵向构件,底纵桁,Component,belongs_to,属于,纵向构件,Component,内龙骨、底纵桁、舷侧纵桁、甲板纵桁和艇龙骨都是船体纵向构件,[88],"[""shiprag_p088_00104""]",0.9
ProcessObject_底部分段,ProcessObject_分段,底部分段,ProcessObject,belongs_to,属于,分段,ProcessObject,底部分段在船台上合拢,[166],"[""shiprag_p166_00192""]",0.9
ProcessObject_总段,ProcessObject_分段,总段,ProcessObject,belongs_to,属于,分段,ProcessObject,具有完整横剖面的环形封闭分段称为总段,[18],"[""shiprag_p018_00020""]",0.9
Component_批龙骨,ProcessObject_船舶,批龙骨,Component,belongs_to,属于,船舶,ProcessObject,批龙骨设置于船舶批部外侧,[53],"[""shiprag_p053_00065""]",0.7
Process_板厚处理,Process_结构放样,板厚处理,Process,belongs_to,属于,结构放样,Process,结构放样时，根据构件制造工艺，按一定规律考虑板材厚度的影响，这一过程称为板厚处理,[84],"[""shiprag_p084_00100""]",0.8
ProcessObject_梁拱曲线,ProcessObject_肋骨型线,梁拱曲线,ProcessObject,belongs_to,属于,肋骨型线,ProcessObject,肋骨型线和梁拱曲线组成主船体完整的横剖面型线,[47],"[""shiprag_p047_00057""]",0.9
ProcessObject_球面,ProcessObject_不可展曲面,球面,ProcessObject,belongs_to,属于,不可展曲面,ProcessObject,现以球面和圆柱螺旋面为例，介绍不可展曲面的近似展开。,[80],"[""shiprag_p080_00096""]",0.8
Operation_球面的分带展开,Process_球面的近似展开,球面的分带展开,Operation,belongs_to,属于,球面的近似展开,Process,球面分带是沿球的纬线方向将球面分割成若干圈带,[81],"[""shiprag_p081_00097""]",0.9
Operation_球面的分瓣展开,Process_球面的近似展开,球面的分瓣展开,Operation,belongs_to,属于,球面的近似展开,Process,球面的分瓣展开是球面近似展开的一种方法,[81],"[""shiprag_p081_00097""]",0.9
ProcessObject_甲板中线,ProcessObject_纵剖线图,甲板中线,ProcessObject,belongs_to,属于,纵剖线图,ProcessObject,过所得各点连成光顺曲线，即为纵剖线图中的甲板中线。,[40],"[""shiprag_p040_00050""]",0.9
ProcessObject_甲板边线,ProcessObject_横剖线图,甲板边线,ProcessObject,belongs_to,属于,横剖线图,ProcessObject,在横剖线图中作甲板边线的步骤…将各交点连成光顺曲线…即为甲板边线。,[40],"[""shiprag_p040_00050""]",0.9
Measurement_相贯线,ProcessObject_两个几何形体,相贯线,Measurement,belongs_to,属于,两个几何形体,ProcessObject,两个几何形体相交时，就会形成一条两个表面的相交线，称为相贯线,[71],"[""shiprag_p071_00086""]",0.95
ProcessObject_空间曲线,Measurement_曲线实长,空间曲线,ProcessObject,belongs_to,属于,曲线实长,Measurement,求取曲线实长的方法，空间曲线也用直角三角形法求实长,[70],"[""shiprag_p070_00085""]",0.8
Component_素线,ProcessObject_斜截圆锥,素线,Component,belongs_to,属于,斜截圆锥,ProcessObject,素线为圆锥面上的线,[77],"[""shiprag_p077_00093""]",0.85
ProcessObject_肋骨型值表,ProcessObject_肋骨线,肋骨型值表,ProcessObject,belongs_to,属于,肋骨线,ProcessObject,编制肋骨型值表在纵线图和半宽水线图中，量取每号肋骨线交点值记录。,[46],"[""shiprag_p046_00056""]",0.85
ProcessObject_肋骨型线图,ProcessObject_船体,肋骨型线图,ProcessObject,belongs_to,属于,船体,ProcessObject,肋骨型线图是和船体装配关系最为密切的全船性结构图,[45],"[""shiprag_p045_00055""]",0.8
ProcessObject_胎架基面,ToolEquipment_胎架,胎架基面,ProcessObject,belongs_to,属于,胎架,ToolEquipment,胎架基面也就是胎架的底面,[124],"[""shiprag_p124_00142""]",0.9
Component_舰柱,ProcessObject_主船体,舰柱,Component,belongs_to,属于,主船体,ProcessObject,舰柱是主船体的尾端结构,[96],"[""shiprag_p096_00112""]",0.9
ProcessObject_舱壁分段,ProcessObject_分段,舱壁分段,ProcessObject,belongs_to,属于,分段,ProcessObject,合拢该区域内的舱壁分段,[166],"[""shiprag_p166_00192""]",0.9
ToolEquipment_读数显微镜,ToolEquipment_经纬仪,读数显微镜,ToolEquipment,belongs_to,属于,经纬仪,ToolEquipment,"转动读数显微镜的目镜,以使刻线尽量清晰",[10],"[""shiprag_p010_00011""]",0.9
Component_边墩,ToolEquipment_墩木,边墩,Component,belongs_to,属于,墩木,ToolEquipment,边墩铺设于船底两侧的适当距离处,[155],"[""shiprag_p155_00178""]",0.9
Component_钢柱,ProcessObject_分段,钢柱,Component,belongs_to,属于,分段,ProcessObject,将画好中心线、肋位线的钢柱吊上分段,[141],"[""shiprag_p141_00162""]",0.9
Component_隔板,ProcessObject_舵叶,隔板,Component,belongs_to,属于,舵叶,ProcessObject,从中间水平隔板开始，顺序向两侧装配各垂直和水平隔板,[110],"[""shiprag_p110_00127""]",0.9
Component_鳍柱,ProcessObject_主船体,鳍柱,Component,belongs_to,属于,主船体,ProcessObject,崩柱是主船体的首端构件。,[98],"[""shiprag_p098_00114""]",0.9
Component_龙骨墩,ToolEquipment_墩木,龙骨墩,Component,belongs_to,属于,墩木,ToolEquipment,龙骨墩铺设在中底的下方，它由木墩或在金属(水泥)墩上放置木组成,[155],"[""shiprag_p155_00178""]",0.9
Process_二次除锈,Measurement_分段二次除锈率,二次除锈,Process,causes,导致,分段二次除锈率,Measurement,二次除锈实际包括分段二次除锈,[30],"[""shiprag_p030_00036""]",0.8
Measurement_二次除锈率,Measurement_涂装工作量,二次除锈率,Measurement,causes,导致,涂装工作量,Measurement,二次除锈率增加一倍，就意味着涂装工作量增加一倍。,[29],"[""shiprag_p029_00035""]",0.8
Defect_凹陷,Defect_弯曲,凹陷,Defect,causes,导致,弯曲,Defect,板材的凹陷同时就引起内部骨架的弯曲,[180],"[""shiprag_p180_00212""]",0.85
Defect_分段弯曲变形,Operation_焊接,分段弯曲变形,Defect,causes,导致,焊接,Operation,分段越长越宽，焊接产生的横向弯曲变形也越大,[146],"[""shiprag_p146_00167""]",0.85
Process_反造,Defect_分段的下塌变形,反造,Process,causes,导致,分段的下塌变形,Defect,"反造时,则造成分段的下塌变形",[146],"[""shiprag_p146_00168""]",0.9
Parameter_吊索夹角,Defect_弯曲变形,吊索夹角,Parameter,causes,导致,弯曲变形,Defect,吊索夹角大导致水平分力使甲板弯曲变形,[25],"[""shiprag_p025_00029""]",0.9
Process_外力作用,Defect_船体结构弯曲_扭转和惯性力,外力作用,Process,causes,导致,船体结构弯曲、扭转和惯性力,Defect,这些外力的作用使船体结构受到弯曲，扭转和惯性力的作用。,[180],"[""shiprag_p180_00211""]",0.8
Defect_应力集中,Defect_疲劳性损坏,应力集中,Defect,causes,导致,疲劳性损坏,Defect,当肋板采用切口加补板的形式时，容易使该处应力集中而导致结构的疲劳性损坏,[126],"[""shiprag_p126_00144""]",0.9
Defect_意外事故,Defect_碰撞_搁浅和触礁,意外事故,Defect,causes,导致,碰撞、搁浅和触礁,Defect,由人为因素造成的碰撞、搁浅和触礁等。,[180],"[""shiprag_p180_00211""]",0.8
Process_板厚处理不当,Defect_接口缺陷,板厚处理不当,Process,causes,导致,接口缺陷,Defect,不作正确的板厚处理会造成两管接口不平，中间出现过大空隙,[86],"[""shiprag_p086_00102""]",0.9
Process_正造,Defect_分段横向的上趣变形,正造,Process,causes,导致,分段横向的上趣变形,Defect,"正造时,外板焊接的收缩量,在拼板烁接时消失,而内底板及构架的焊接收缩将造成分段横向的上趣变形",[146],"[""shiprag_p146_00168""]",0.9
Defect_漆膜保护意识淡薄,Operation_二次除锈,漆膜保护意识淡薄,Defect,causes,导致,二次除锈,Operation,漆膜的大量损伤必然造成区域二次除锈率的居高不下,[30],"[""shiprag_p030_00037""]",0.8
Defect_焊接变形,ProcessObject_分段,焊接变形,Defect,causes,导致,分段,ProcessObject,结构的焊接变形和结构的刚性成反比关系,[148],"[""shiprag_p148_00170""]",0.9
Defect_跟踪补漆不全面,Operation_二次除锈,跟踪补漆不全面,Defect,causes,导致,二次除锈,Operation,跟踪补漆不全面、不及时，从而导致腐蚀的迅速加剧,[30],"[""shiprag_p030_00037""]",0.8
Defect_锈蚀耗损,ProcessObject_金属船体,锈蚀耗损,Defect,causes,导致,金属船体,ProcessObject,金属船体的锈蚀是难以完全避免，并且持续发生的自然耗损。,[180],"[""shiprag_p180_00211""]",0.9
ProcessObject_斜剖线,ProcessObject_船体型表面,斜剖线,ProcessObject,checks,检查/评估,船体型表面,ProcessObject,斜剖线是一个特殊的倾斜平面与船体型表面的交线,[44],"[""shiprag_p044_00054""]",0.9
Measurement_格子线,Operation_对角线检验,格子线,Measurement,checks,检查/评估,对角线检验,Operation,作好的各个格子线应用对角线进行检验,[36],"[""shiprag_p036_00045""]",0.9
Operation_肋骨型线检验,ProcessObject_肋骨型线,肋骨型线检验,Operation,checks,检查/评估,肋骨型线,ProcessObject,肋骨型线放样之后，也需要进行检验,[47],"[""shiprag_p047_00057""]",0.9
ProcessObject_上下分段,Component_围壁,上下分段,ProcessObject,composed_of,由……组成,围壁,Component,上下分段外围壁光顺过渡,[177],"[""shiprag_p177_00208""]",0.8
ToolEquipment_两翼扇形梳状式活络样板,Component_扇形连接板,两翼扇形梳状式活络样板,ToolEquipment,composed_of,由……组成,扇形连接板,Component,它由下列零部件组成:立杆、横杆、扇形连接板、伸缩杆、弹资钢带和紧固螺栓。,[59],"[""shiprag_p059_00072""]",0.9
ToolEquipment_两翼扇形梳状式活络样板,Component_横杆,两翼扇形梳状式活络样板,ToolEquipment,composed_of,由……组成,横杆,Component,它由下列零部件组成:立杆、横杆、扇形连接板、伸缩杆、弹资钢带和紧固螺栓。,[59],"[""shiprag_p059_00072""]",0.9
ToolEquipment_两翼扇形梳状式活络样板,Component_立杆,两翼扇形梳状式活络样板,ToolEquipment,composed_of,由……组成,立杆,Component,它由下列零部件组成:立杆、横杆、扇形连接板、伸缩杆、弹资钢带和紧固螺栓。,[59],"[""shiprag_p059_00072""]",0.9
ProcessObject_主船体,ProcessObject_侧分段,主船体,ProcessObject,composed_of,由……组成,侧分段,ProcessObject,常将主船体划分为底部分段、侧分段、甲板分段和舱壁分段,[13],"[""shiprag_p013_00014""]",0.9
ProcessObject_主船体,ProcessObject_底部分段,主船体,ProcessObject,composed_of,由……组成,底部分段,ProcessObject,常将主船体划分为底部分段、侧分段、甲板分段和舱壁分段,[13],"[""shiprag_p013_00014""]",0.9
ProcessObject_五级编码,ProcessObject_分段代码,五级编码,ProcessObject,composed_of,由……组成,分段代码,ProcessObject,五级编码中自右向左依次是:零件、部件、组合件、分段和船舶。,[18],"[""shiprag_p018_00019""]",0.9
ProcessObject_五级编码,ProcessObject_组合件代码,五级编码,ProcessObject,composed_of,由……组成,组合件代码,ProcessObject,五级编码中自右向左依次是:零件、部件、组合件、分段和船舶。,[18],"[""shiprag_p018_00019""]",0.9
ProcessObject_五级编码,ProcessObject_船舶代码,五级编码,ProcessObject,composed_of,由……组成,船舶代码,ProcessObject,五级编码中自右向左依次是:零件、部件、组合件、分段和船舶。,[18],"[""shiprag_p018_00019""]",0.9
ProcessObject_侧分段,Component_外板,侧分段,ProcessObject,composed_of,由……组成,外板,Component,"当侧分段带有甲板边板时,常外板采用图5-33所示两种连接形式",[132],"[""shiprag_p132_00150""]",0.9
ProcessObject_内底板,Component_折角线,内底板,ProcessObject,composed_of,由……组成,折角线,Component,在平面图中作出内底板折角线,[52],"[""shiprag_p052_00064""]",0.9
ProcessObject_分段,ProcessObject_组合件,分段,ProcessObject,composed_of,由……组成,组合件,ProcessObject,它由若干组合件、部件和零件装配焊接而成,[18],"[""shiprag_p018_00020""]",0.9
ProcessObject_分段组立树,ProcessObject_双层底分段,分段组立树,ProcessObject,composed_of,由……组成,双层底分段,ProcessObject,图5-13为一双层底分段(左、右)的组立树,[116],"[""shiprag_p116_00134""]",0.9
ProcessObject_半宽水线图,Measurement_格子线,半宽水线图,ProcessObject,composed_of,由……组成,格子线,Measurement,半宽水线图的格子线由中心线、纵剖线、半宽线和站线组成,[36],"[""shiprag_p036_00045""]",0.9
ProcessObject_半宽水线图,ProcessObject_水线,半宽水线图,ProcessObject,composed_of,由……组成,水线,ProcessObject,半宽水线图中的各条水线。,[41],"[""shiprag_p041_00051""]",0.8
Component_双层底框架部件,Component_纵桁,双层底框架部件,Component,composed_of,由……组成,纵桁,Component,双层底框架部件由一道纵桁、纵桁一侧的肋板、底纵骨、内底纵骨、加强筋、补板和肘板组成,[101],"[""shiprag_p101_00117""]",0.95
Component_双层底框架部件,Component_肋板,双层底框架部件,Component,composed_of,由……组成,肋板,Component,双层底框架部件由一道纵桁、纵桁一侧的肋板、底纵骨、内底纵骨、加强筋、补板和肘板组成,[101],"[""shiprag_p101_00117""]",0.95
ProcessObject_型线,ProcessObject_横剖线,型线,ProcessObject,composed_of,由……组成,横剖线,ProcessObject,在横剖线图中，将水线半宽图中的半宽值投影到各对应水线上，即得各横剖线,[43],"[""shiprag_p043_00053""]",0.9
ProcessObject_型线,ProcessObject_纵剖线,型线,ProcessObject,composed_of,由……组成,纵剖线,ProcessObject,将纵剖线图中站线与崩船轮的交点投影到横线图的中线上,[43],"[""shiprag_p043_00053""]",0.8
Component_型钢,Component_肋骨,型钢,Component,composed_of,由……组成,肋骨,Component,型钢弯曲而成的零件，如肋骨和纵骨,[60],"[""shiprag_p060_00073""]",0.8
Component_外板,Component_舷列板,外板,Component,composed_of,由……组成,舷列板,Component,船底向舷侧过渡部位的外板称为舷列板,[54],"[""shiprag_p054_00067""]",0.9
Component_外板,Component_龙骨底板,外板,Component,composed_of,由……组成,龙骨底板,Component,位于船底中心线上的外板称为龙骨底板,[54],"[""shiprag_p054_00067""]",0.95
Component_外板,Component_龙骨翼板,外板,Component,composed_of,由……组成,龙骨翼板,Component,与龙骨底板相连接的底板称为龙骨翼板,[54],"[""shiprag_p054_00067""]",0.9
ProcessObject_底边舱分段,Component_内底板,底边舱分段,ProcessObject,composed_of,由……组成,内底板,Component,底边舱的倾斜内底为一平板。通常都以内底板作为基面倒装,[132],"[""shiprag_p132_00150""]",0.9
Component_桅杆,Component_桅杆柱体,桅杆,Component,composed_of,由……组成,桅杆柱体,Component,桅杆柱体是桅杆的主体部分,[104],"[""shiprag_p104_00120""]",0.8
ProcessObject_横剖线图,Measurement_格子线,横剖线图,ProcessObject,composed_of,由……组成,格子线,Measurement,横剖线图的格子线由基线、中线、半宽线、水线和纵剖线组成,[36],"[""shiprag_p036_00045""]",0.9
ProcessObject_横剖线图,ProcessObject_横剖线,横剖线图,ProcessObject,composed_of,由……组成,横剖线,ProcessObject,横剖线图由各号横剖线组成。,[41],"[""shiprag_p041_00051""]",0.8
Component_水平桁材,Component_扶强材,水平桁材,Component,composed_of,由……组成,扶强材,Component,水平桁材上扶强材开,[106],"[""shiprag_p106_00123""]",0.8
ProcessObject_烟窗围板,Component_垂直扶强材,烟窗围板,ProcessObject,composed_of,由……组成,垂直扶强材,Component,烟窗围板由前后左右共4块组垂直加强材成,[107],"[""shiprag_p107_00124""]",0.8
ToolEquipment_积术型框架式可调脚手架,Component_踏板,积术型框架式可调脚手架,ToolEquipment,composed_of,由……组成,踏板,Component,在其上铺设踏板后即得到理想的工作平台和通道,[153],"[""shiprag_p153_00176""]",0.9
ProcessObject_纵剖线图,ProcessObject_纵剖线,纵剖线图,ProcessObject,composed_of,由……组成,纵剖线,ProcessObject,纵剖线图由各号纵剖线组成。,[41],"[""shiprag_p041_00051""]",0.8
Measurement_纵剖线图格子线,Measurement_基线,纵剖线图格子线,Measurement,composed_of,由……组成,基线,Measurement,纵线图格子线由基线、水线和站线组成。,[36],"[""shiprag_p036_00044""]",0.9
Measurement_纵剖线图格子线,Measurement_站线,纵剖线图格子线,Measurement,composed_of,由……组成,站线,Measurement,纵线图格子线由基线、水线和站线组成。,[36],"[""shiprag_p036_00044""]",0.9
ProcessObject_组合件,Component_部件,组合件,ProcessObject,composed_of,由……组成,部件,Component,组合件由若干个部件和零件经过两次或多次装配焊接,[18],"[""shiprag_p018_00020""]",0.9
ProcessObject_肋骨型线,ProcessObject_斜剖线,肋骨型线,ProcessObject,composed_of,由……组成,斜剖线,ProcessObject,在型线曲率变化较大的部分作3~5条斜剖线,[47],"[""shiprag_p047_00057""]",0.8
ToolEquipment_舱内吊杆式作业台,Component_悬臂梁,舱内吊杆式作业台,ToolEquipment,composed_of,由……组成,悬臂梁,Component,它是在行走台车上设置立柱和悬臂梁,[154],"[""shiprag_p154_00177""]",0.9
ToolEquipment_舱内吊杆式作业台,Component_立柱,舱内吊杆式作业台,ToolEquipment,composed_of,由……组成,立柱,Component,它是在行走台车上设置立柱和悬臂梁,[154],"[""shiprag_p154_00177""]",0.9
ToolEquipment_舱内吊杆式作业台,Component_行走台车,舱内吊杆式作业台,ToolEquipment,composed_of,由……组成,行走台车,Component,它是在行走台车上设置立柱和悬臂梁,[154],"[""shiprag_p154_00177""]",0.9
ProcessObject_舵叶,Component_垂直隔板,舵叶,ProcessObject,composed_of,由……组成,垂直隔板,Component,舵叶内设水平和垂直隔板，形成格状结构,[109],"[""shiprag_p109_00126""]",0.9
ProcessObject_舵叶,Component_水平隔板,舵叶,ProcessObject,composed_of,由……组成,水平隔板,Component,舵叶内设水平和垂直隔板，形成格状结构,[109],"[""shiprag_p109_00126""]",0.9
Component_舷侧纵桁,Component_腹板,舷侧纵桁,Component,composed_of,由……组成,腹板,Component,向上量取纵桁腹板宽度I,[89],"[""shiprag_p089_00105""]",0.8
ProcessObject_船体,ProcessObject_分段,船体,ProcessObject,composed_of,由……组成,分段,ProcessObject,形成若干数量的船体分段，最后组装成完整的船体,[150],"[""shiprag_p150_00172""]",0.9
ProcessObject_船体型表面,Component_上甲板,船体型表面,ProcessObject,composed_of,由……组成,上甲板,Component,船体型表面是指外板和上甲板的外表面,[62],"[""shiprag_p062_00076""]",0.9
ProcessObject_船体型表面,Component_外板,船体型表面,ProcessObject,composed_of,由……组成,外板,Component,船体型表面是指外板和上甲板的外表面,[62],"[""shiprag_p062_00076""]",0.9
ProcessObject_通用支柱式双斜切胎架,Component_支柱,通用支柱式双斜切胎架,ProcessObject,composed_of,由……组成,支柱,Component,用相等间距设立支柱以代替胎板,[125],"[""shiprag_p125_00143""]",0.9
ProcessObject_部上段,Component_上甲板,部上段,ProcessObject,composed_of,由……组成,上甲板,Component,醋部上段由上甲板、纵横舱壁、肋骨框架、甲板纵桁、柱纵桁和外板组成,[144],"[""shiprag_p144_00165""]",0.9
Component_钢板鳍柱,Component_鞘柱板,钢板鳍柱,Component,composed_of,由……组成,鞘柱板,Component,钢板髓柱由鞘柱板、纵向加强筋和肘板组成,[99],"[""shiprag_p099_00115""]",0.9
ProcessObject_顶边舱舷侧分段,Component_斜底板,顶边舱舷侧分段,ProcessObject,composed_of,由……组成,斜底板,Component,在边舱斜底平台上铺放斜底板,[134],"[""shiprag_p134_00153""]",0.9
ProcessObject_顶边舱舷侧分段,Component_横向框架,顶边舱舷侧分段,ProcessObject,composed_of,由……组成,横向框架,Component,装顶边舱横向框架,[134],"[""shiprag_p134_00153""]",0.9
ProcessObject_顶边舱舷侧分段,Component_甲板,顶边舱舷侧分段,ProcessObject,composed_of,由……组成,甲板,Component,在甲板平台上铺设甲板,[134],"[""shiprag_p134_00153""]",0.9
Chapter_中级船体装配工工艺学,Chapter_第七章船体修理,中级船体装配工工艺学,Chapter,contains,包含,第七章船体修理,Chapter,教材章节,"[179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192]","[""shiprag_p179_00210"", ""shiprag_p180_00211"", ""shiprag_p180_00212"", ""shiprag_p181_00213"", ""shiprag_p181_00214"", ""shiprag_p182_00215"", ""shiprag_p183_00216"", ""shiprag_p183_00217"", ""shiprag_p184_00218"", ""shiprag_p185_00219"", ""shiprag_p185_00220"", ""shiprag_p186_00221"", ""shiprag_p186_00222"", ""shiprag_p187_00223"", ""shiprag_p187_00224"", ""shiprag_p188_00225"", ""shiprag_p189_00226"", ""shiprag_p189_00227"", ""shiprag_p190_00228"", ""shiprag_p191_00229"", ""shiprag_p192_00230""]",0.95
